Mem: 137568K used, 295364K free, 11480K shrd, 10544K buff, 45768K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.41 1.39 1.05 3/128 1439
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1435     1 root     R    15624   4% 100% python /usr/sbin/sensor_manager2.py
  783     1 root     S    67240  16%   0% /usr/sbin/mboxd --flash 64M --verbose
  806     1 root     S    34408   8%   0% python /usr/sbin/phosphor-gevent rest_dbus
  843     1 root     S    32636   8%   0% /usr/sbin/power_control.exe 3000 10
  853     1 root     S    32628   8%   0% /usr/sbin/button_reset.exe
  841     1 root     S    32628   8%   0% /usr/sbin/button_power.exe
  852     1 root     S    32616   8%   0% /usr/sbin/host_checkstop.exe
  816     1 root     S    32520   8%   0% /usr/sbin/flash_bios.exe
  749     1 root     S    32516   8%   0% /usr/sbin/control_bmc.exe
  756     1 root     S    32516   8%   0% /usr/sbin/host_watchdog.exe
  745     1 root     S    17952   4%   0% python /usr/sbin/netman.py
  819     1 root     S    17764   4%   0% python /usr/sbin/bmc_update.py
  766     1 root     S    16408   4%   0% python /usr/sbin/obmc-phosphor-userd
  761     1 root     S    16288   4%   0% python /usr/sbin/phosphor-mapper
  754     1 root     S    15624   4%   0% python /usr/sbin/download_manager.py
  772     1 root     S    15608   4%   0% python /usr/sbin/inventory_items.py
  807     1 root     S    15588   4%   0% python /usr/sbin/system_manager.py
  810     1 root     S    15428   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  748     1 root     S    15344   4%   0% python /usr/sbin/chassis_control.py
  725     1 systemd- S    13072   3%   0% /lib/systemd/systemd-timesyncd
  838     1 root     S     6704   2%   0% /usr/sbin/ipmid
  781     1 root     S     5724   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  753     1 root     S     5676   1%   0% /usr/sbin/phosphor-inventory
  444     1 root     S     5596   1%   0% /lib/systemd/systemd-journald
    1     0 root     S     5552   1%   0% {systemd} /sbin/init
  760     1 root     S     5552   1%   0% /usr/sbin/phosphor-log-manager
  764     1 root     S     5544   1%   0% /usr/sbin/phosphor-ledmanager
  842     1 root     S     5520   1%   0% /usr/sbin/phosphor-host-state-manager
  779     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/id
  777     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/fault
  778     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/power
  755     1 root     S     5512   1%   0% /usr/sbin/phosphor-version-software-manager
  844     1 root     S     5508   1%   0% /usr/sbin/phosphor-bmc-state-manager
  840     1 root     S     5504   1%   0% /usr/sbin/phosphor-chassis-state-manager
  750     1 avahi    S     5236   1%   0% avahi-daemon: running [witherspoon.local]
  878     1 root     S     5196   1%   0% /usr/sbin/timemanager
  768   750 avahi    S     5112   1%   0% avahi-daemon: chroot helper
  780     1 root     S     5096   1%   0% /usr/sbin/slpd
  763     1 root     S     5096   1%   0% /usr/sbin/phosphor-eventd -s ${LOG_SIZE_LIMIT} -t ${LOG_COUNT_LIMIT}
  767     1 messageb S     5008   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  802     1 root     S     3824   1%   0% /usr/sbin/mapper wait /org/openbmc/sensors
  747     1 root     S     3760   1%   0% /usr/sbin/btbridged
  817     1 root     S     3752   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
  715     1 root     S     3664   1%   0% /lib/systemd/systemd-udevd
  771     1 systemd- S     3156   1%   0% /lib/systemd/systemd-networkd
  752     1 root     S     3056   1%   0% /sbin/syslogd -n -C
  782     1 root     S     3040   1%   0% /bin/sh -c realpath /dev/ttyVUART0 | xargs basename | xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
 1406  1405 root     S     3040   1%   0% -sh
  892   891 root     S     3040   1%   0% -sh
  896   895 root     S     3040   1%   0% -sh
 1412  1411 root     S     3040   1%   0% -sh
 1425  1424 root     S     3040   1%   0% -sh
 1430  1429 root     S     3040   1%   0% -sh
 1437  1436 root     S     3040   1%   0% -sh
  787   782 root     S     3020   1%   0% xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  759     1 root     S     2992   1%   0% /sbin/klogd -n
 1438  1437 root     S     2992   1%   0% /usr/bin/resize
 1439  1436 root     R     2992   1%   0% top -n 1 -b
  891     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1429     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1436     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1405     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1433     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1424     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1411     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  895     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  784     1 root     S     1972   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
