MemTotal:         497976 kB
MemFree:          333576 kB
MemAvailable:     373748 kB
Buffers:           10604 kB
Cached:            67940 kB
SwapCached:            0 kB
Active:           106436 kB
Inactive:          39544 kB
Active(anon):      78504 kB
Inactive(anon):    22396 kB
Active(file):      27932 kB
Inactive(file):    17148 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         67448 kB
Mapped:            20268 kB
Shmem:             33464 kB
Slab:              10420 kB
SReclaimable:       5628 kB
SUnreclaim:         4792 kB
KernelStack:        1088 kB
PageTables:         2484 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248988 kB
Committed_AS:     334852 kB
VmallocTotal:     524288 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
