Mem: 136928K used, 296004K free, 8780K shrd, 10660K buff, 43396K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 4.48 2.64 1.44 4/135 2306
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  781     1 root     R    67240  16% 100% /usr/sbin/mboxd --flash 64M --verbose
  834     1 root     S    32640   8%   0% /usr/sbin/power_control.exe 3000 10
  839     1 root     S    32628   8%   0% /usr/sbin/button_power.exe
  838     1 root     S    32628   8%   0% /usr/sbin/button_reset.exe
  751     1 root     S    32620   8%   0% /usr/sbin/host_watchdog.exe
  835     1 root     S    32616   8%   0% /usr/sbin/host_checkstop.exe
  804     1 root     S    32520   8%   0% /usr/sbin/flash_bios.exe
  770     1 root     S    32516   8%   0% /usr/sbin/control_bmc.exe
 1890     1 root     S    28972   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
  763     1 root     S    17952   4%   0% python /usr/sbin/netman.py
  816     1 root     S    17836   4%   0% python /usr/sbin/bmc_update.py
  761     1 root     S    16404   4%   0% python /usr/sbin/obmc-phosphor-userd
  762     1 root     S    16160   4%   0% python /usr/sbin/phosphor-mapper
  814     1 root     S    15632   4%   0% python /usr/sbin/hwmon.py
  757     1 root     S    15624   4%   0% python /usr/sbin/sensor_manager2.py
  759     1 root     S    15624   4%   0% python /usr/sbin/download_manager.py
  749     1 root     S    15608   4%   0% python /usr/sbin/inventory_items.py
  801     1 root     S    15584   4%   0% python /usr/sbin/system_manager.py
  802     1 root     S    15428   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  756     1 root     S    15344   4%   0% python /usr/sbin/chassis_control.py
  742     1 systemd- S    13072   3%   0% /lib/systemd/systemd-timesyncd
  831     1 root     S     6700   2%   0% /usr/sbin/ipmid
 2195     1 root     S     5720   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  775     1 root     S     5672   1%   0% /usr/sbin/phosphor-inventory
  445     1 root     S     5596   1%   0% /lib/systemd/systemd-journald
  769     1 root     S     5548   1%   0% /usr/sbin/phosphor-log-manager
  771     1 root     S     5540   1%   0% /usr/sbin/phosphor-ledmanager
  840     1 root     S     5516   1%   0% /usr/sbin/phosphor-host-state-manager
  750     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/power
  774     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/fault
  779     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/id
  780     1 root     S     5508   1%   0% /usr/sbin/phosphor-version-software-manager
  837     1 root     S     5504   1%   0% /usr/sbin/phosphor-bmc-state-manager
  836     1 root     S     5500   1%   0% /usr/sbin/phosphor-chassis-state-manager
    1     0 root     S     5480   1%   0% {systemd} /sbin/init
  776     1 avahi    S     5232   1%   0% avahi-daemon: running [witherspoon.local]
  867     1 root     S     5196   1%   0% /usr/sbin/timemanager
  752     1 messageb S     5120   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  785   776 avahi    S     5112   1%   0% avahi-daemon: chroot helper
  789     1 root     S     5096   1%   0% /usr/sbin/slpd
  773     1 root     S     5096   1%   0% /usr/sbin/phosphor-eventd -s ${LOG_SIZE_LIMIT} -t ${LOG_COUNT_LIMIT}
  778     1 root     S     3760   1%   0% /usr/sbin/btbridged
  813     1 root     S     3752   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
  815     1 root     S     3752   1%   0% /usr/sbin/fan_control.exe -f 6
  523     1 root     S     3664   1%   0% /lib/systemd/systemd-udevd
  755     1 systemd- S     3156   1%   0% /lib/systemd/systemd-networkd
  748     1 root     S     3056   1%   0% /sbin/syslogd -n -C
 2036  2035 root     S     3040   1%   0% -sh
  881   880 root     S     3040   1%   0% -sh
 2299  2278 root     S     3040   1%   0% -sh
  744     1 root     S     3040   1%   0% /bin/sh -c realpath /dev/ttyVUART0 | xargs basename | xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
 2236  2182 root     S     3040   1%   0% -sh
 2270  2267 root     S     3040   1%   0% -sh
 2304  2303 root     S     3040   1%   0% -sh
  747   744 root     S     3020   1%   0% xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  772     1 root     S     2992   1%   0% /sbin/klogd -n
 2305  2304 root     S     2992   1%   0% /usr/bin/resize
 2306  2303 root     R     2992   1%   0% top -n 1 -b
 2293     1 root     S     2860   1%   0% /bin/sleep 10
  880     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 2278     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 2182     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 2035     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 2267     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 2302     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  884     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -c /usr/bin/obmc-console-client -B
 2303     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  782     1 root     S     1972   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  754   747 root     S     1840   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyS2
  885   884 root     S     1568   0%   0% /usr/bin/obmc-console-client
  152     2 root     SW       0   0%   0% [kworker/0:1]
    3     2 root     RW       0   0%   0% [ksoftirqd/0]
    9     2 root     SW       0   0%   0% [kworker/u2:1]
   93     2 root     SW       0   0%   0% [kworker/u2:3]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
    2     0 root     SW       0   0%   0% [kthreadd]
    5     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
   10     2 root     SW       0   0%   0% [oom_reaper]
  120     2 root     SW<      0   0%   0% [writeback]
  121     2 root     SW       0   0%   0% [kcompactd0]
  123     2 root     SW<      0   0%   0% [bioset]
