Mem: 135960K used, 296972K free, 8788K shrd, 10500K buff, 43184K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.80 1.68 0.73 2/130 939
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  755     1 root     R    16144   4% 100% python /usr/sbin/phosphor-mapper
  751     1 root     S    67240  16%   0% /usr/sbin/mboxd --flash 64M --verbose
  860     1 root     S    32640   8%   0% /usr/sbin/power_control.exe 3000 10
  859     1 root     S    32628   8%   0% /usr/sbin/button_power.exe
  862     1 root     S    32628   8%   0% /usr/sbin/button_reset.exe
  861     1 root     S    32616   8%   0% /usr/sbin/host_checkstop.exe
  837     1 root     S    32520   8%   0% /usr/sbin/flash_bios.exe
  752     1 root     S    32516   8%   0% /usr/sbin/host_watchdog.exe
  776     1 root     S    32516   8%   0% /usr/sbin/control_bmc.exe
  907     1 root     S    29044   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
  749     1 root     S    17952   4%   0% python /usr/sbin/netman.py
  830     1 root     S    17764   4%   0% python /usr/sbin/bmc_update.py
  753     1 root     S    16404   4%   0% python /usr/sbin/obmc-phosphor-userd
  842     1 root     S    15632   4%   0% python /usr/sbin/hwmon.py
  748     1 root     S    15624   4%   0% python /usr/sbin/download_manager.py
  759     1 root     S    15624   4%   0% python /usr/sbin/sensor_manager2.py
  785     1 root     S    15608   4%   0% python /usr/sbin/inventory_items.py
  816     1 root     S    15584   4%   0% python /usr/sbin/system_manager.py
  817     1 root     S    15428   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  787     1 root     S    15344   4%   0% python /usr/sbin/chassis_control.py
  732     1 systemd- S    13072   3%   0% /lib/systemd/systemd-timesyncd
  758     1 root     S     7416   2%   0% /usr/sbin/netipmid
  858     1 root     S     6700   2%   0% /usr/sbin/ipmid
  797     1 root     S     5720   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  936     1 root     S     5720   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@400/ucd90160@64
  786     1 root     S     5672   1%   0% /usr/sbin/phosphor-inventory
  441     1 root     S     5588   1%   0% /lib/systemd/systemd-journald
    1     0 root     S     5556   1%   0% {systemd} /sbin/init
  750     1 root     S     5548   1%   0% /usr/sbin/phosphor-log-manager
  775     1 root     S     5536   1%   0% /usr/sbin/phosphor-ledmanager
  863     1 root     S     5516   1%   0% /usr/sbin/phosphor-host-state-manager
  793     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/id
  795     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/fault
  794     1 root     S     5512   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/power
  774     1 root     S     5508   1%   0% /usr/sbin/phosphor-version-software-manager
  865     1 root     S     5504   1%   0% /usr/sbin/phosphor-bmc-state-manager
  864     1 root     S     5500   1%   0% /usr/sbin/phosphor-chassis-state-manager
  754     1 avahi    S     5232   1%   0% avahi-daemon: running [witherspoon.local]
  896     1 root     S     5196   1%   0% /usr/sbin/timemanager
  769   754 avahi    S     5112   1%   0% avahi-daemon: chroot helper
  784     1 root     S     5096   1%   0% /usr/sbin/phosphor-eventd -s ${LOG_SIZE_LIMIT} -t ${LOG_COUNT_LIMIT}
  799     1 root     S     5096   1%   0% /usr/sbin/slpd
  766     1 messageb S     5012   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  747     1 root     S     3760   1%   0% /usr/sbin/btbridged
  828     1 root     S     3752   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
  843     1 root     S     3752   1%   0% /usr/sbin/fan_control.exe -f 6
  524     1 root     S     3664   1%   0% /lib/systemd/systemd-udevd
  773     1 systemd- S     3156   1%   0% /lib/systemd/systemd-networkd
  761     1 root     S     3056   1%   0% /sbin/syslogd -n -C
  910   909 root     S     3040   1%   0% -sh
  925   924 root     S     3040   1%   0% -sh
  928   927 root     S     3040   1%   0% -sh
  916   915 root     S     3040   1%   0% -sh
  762     1 root     S     3040   1%   0% /bin/sh -c realpath /dev/ttyVUART0 | xargs basename | xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  937   934 root     S     3040   1%   0% -sh
  765   762 root     S     3020   1%   0% xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  939   934 root     R     2992   1%   0% top -n 1 -b
  788     1 root     S     2992   1%   0% /sbin/klogd -n
  938   937 root     S     2992   1%   0% /usr/bin/resize
  909     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  927     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  924     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  915     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  934     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  931     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  800     1 root     S     1972   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  768   765 root     S     1840   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyS2
  151     2 root     SW       0   0%   0% [kworker/0:1]
  444     2 root     SW       0   0%   0% [kworker/0:2]
  831     2 root     SW       0   0%   0% [kworker/0:4]
  791     2 root     SW       0   0%   0% [kworker/0:3]
    3     2 root     SW       0   0%   0% [ksoftirqd/0]
    6     2 root     SW       0   0%   0% [kworker/u2:0]
    2     0 root     SW       0   0%   0% [kthreadd]
  118     2 root     SW       0   0%   0% [kworker/u2:2]
    4     2 root     SW       0   0%   0% [kworker/0:0]
    5     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
    9     2 root     SW       0   0%   0% [kworker/u2:1]
   10     2 root     SW       0   0%   0% [oom_reaper]
  119     2 root     SW<      0   0%   0% [writeback]
  121     2 root     SW       0   0%   0% [kcompactd0]
  122     2 root     SW<      0   0%   0% [bioset]
  124     2 root     SW<      0   0%   0% [kblockd]
  133     2 root     SW<      0   0%   0% [watchdogd]
  152     2 root     SW<      0   0%   0% [rpciod]
  163     2 root     SW       0   0%   0% [kswapd0]
  164     2 root     SW<      0   0%   0% [nfsiod]
  198     2 root     SW<      0   0%   0% [bioset]
  199     2 root     SW<      0   0%   0% [bioset]
  200     2 root     SW<      0   0%   0% [bioset]
  201     2 root     SW<      0   0%   0% [bioset]
  211     2 root     SW<      0   0%   0% [bioset]
  214     2 root     SW<      0   0%   0% [bioset]
  217     2 root     SW<      0   0%   0% [bioset]
  220     2 root     SW<      0   0%   0% [bioset]
  223     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
