MemTotal:         432932 kB
MemFree:          227228 kB
MemAvailable:     268368 kB
Buffers:           10584 kB
Cached:           111744 kB
SwapCached:            0 kB
Active:           159092 kB
Inactive:          27556 kB
Active(anon):     130044 kB
Inactive(anon):    11332 kB
Active(file):      29048 kB
Inactive(file):    16224 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         64332 kB
Mapped:            19812 kB
Shmem:             77056 kB
Slab:              11272 kB
SReclaimable:       6164 kB
SUnreclaim:         5108 kB
KernelStack:        1016 kB
PageTables:         2428 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216464 kB
Committed_AS:     333004 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
