Mem: 219552K used, 212780K free, 79964K shrd, 10764K buff, 115700K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.87 1.99 1.03 16/150 1149
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1113  1009 root     R    32692   8% 100% flasher.exe bios /tmp/witherspoon_20170704n.pnor /org/openbmc/control/flash/bios
  937     1 root     S    69320  16%   0% /usr/sbin/mboxd --flash 64M --window-size 1M
 1049     1 root     R    32620   8%   0% /usr/sbin/power_control.exe 3000 10
 1044     1 root     S    32616   8%   0% /usr/sbin/button_power.exe
 1043     1 root     S    32616   8%   0% /usr/sbin/button_reset.exe
 1009     1 root     S    32508   8%   0% /usr/sbin/flash_bios.exe
  927     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
  998     1 root     S    31072   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
  944     1 root     S    17952   4%   0% python /usr/sbin/netman.py
 1008     1 root     S    17768   4%   0% python /usr/sbin/bmc_update.py
  935     1 root     S    16456   4%   0% python /usr/sbin/obmc-phosphor-userd
  960     1 root     S    16200   4%   0% python /usr/sbin/phosphor-mapper
    1     0 root     S    16188   4%   0% {systemd} /sbin/init
 1011     1 root     S    15676   4%   0% python /usr/sbin/hwmon.py
  959     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
  965     1 root     S    15664   4%   0% python /usr/sbin/sensor_manager2.py
  986     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
  938     1 root     S    15624   4%   0% python /usr/sbin/inventory_items.py
  987     1 root     S    15440   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  940     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  884     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
  645     1 root     S    13512   3%   0% /lib/systemd/systemd-journald
 1039     1 root     S     7020   2%   0% /usr/sbin/ipmid
  933     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@400/ucd90160@64
  945     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@70
  931     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
  947     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  929     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@71
  928     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@380/tmp275@4a
  932     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@71
  964     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/bmp280@77
  967     1 root     S     5924   1%   0% /usr/sbin/phosphor-version-software-manager
  942     1 root     S     5920   1%   0% /usr/sbin/phosphor-dump-manager
  951     1 root     S     5916   1%   0% /usr/sbin/phosphor-log-manager
  963     1 root     S     5896   1%   0% /usr/sbin/phosphor-dump-monitor
  939     1 root     S     5880   1%   0% /usr/sbin/phosphor-inventory
  926     1 root     S     5860   1%   0% /usr/sbin/openpower-update-manager
  950     1 root     S     5812   1%   0% /usr/sbin/phosphor-download-manager
  946     1 root     S     5756   1%   0% /usr/sbin/phosphor-image-updater
  952     1 root     S     5748   1%   0% /usr/sbin/phosphor-ledmanager
 1041     1 root     S     5724   1%   0% /usr/sbin/phosphor-host-state-manager
  930     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/fault
  934     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/id
 1042     1 root     S     5716   1%   0% /usr/sbin/phosphor-bmc-state-manager
 1050     1 root     S     5716   1%   0% /usr/sbin/phosphor-chassis-state-manager
  958     1 systemd- S     5704   1%   0% /lib/systemd/systemd-networkd
 1015     1 root     S     5316   1%   0% /usr/sbin/openpower-occ-control
 1002     1 root     S     5280   1%   0% /usr/sbin/phosphor-fru-fault-monitor
