Mem: 160552K used, 271724K free, 14732K shrd, 10884K buff, 51044K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 2.16 1.59 1.21 3/145 1726
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1721     1 root     R    15664   4% 100% python /usr/sbin/sensor_manager2.py
  973     1 root     S    69320  16%   0% /usr/sbin/mboxd --flash 64M --window-size 1M
 1042     1 root     S    48868  11%   0% python /usr/sbin/phosphor-gevent rest_dbus
 1089     1 root     S    32628   8%   0% /usr/sbin/power_control.exe 3000 10
 1084     1 root     S    32616   8%   0% /usr/sbin/button_power.exe
 1080     1 root     S    32612   8%   0% /usr/sbin/button_reset.exe
 1050     1 root     S    32508   8%   0% /usr/sbin/flash_bios.exe
  964     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
    1     0 root     S    25432   6%   0% {systemd} /sbin/init
  962     1 root     S    17952   4%   0% python /usr/sbin/netman.py
 1052     1 root     S    17768   4%   0% python /usr/sbin/bmc_update.py
  981     1 root     S    16456   4%   0% python /usr/sbin/obmc-phosphor-userd
  978     1 root     S    16204   4%   0% python /usr/sbin/phosphor-mapper --path_namespaces=/org/open_power /xyz/openbmc_project /org/openbmc --interface_namespaces=rg.openbmc yz.openbmc_project rg.open_power
  967     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
 1038     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
  984     1 root     S    15624   4%   0% python /usr/sbin/inventory_items.py
 1027     1 root     S    15440   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  972     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  902     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
  654     1 root     S    13508   3%   0% /lib/systemd/systemd-journald
 1094     1 root     S     7036   2%   0% /usr/sbin/ipmid
  982     1 root     S     6068   1%   0% /usr/sbin/phosphor-network-manager
