Mem: 266580K used, 165752K free, 88888K shrd, 11012K buff, 125548K cached
CPU:   0% usr   9% sys   0% nic  90% idle   0% io   0% irq   0% sirq
Load average: 0.67 0.59 0.75 1/144 18012
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
18012 18008 root     R     2992   1%   9% top -n 1 -b
 1007     1 root     S    78900  18%   0% python /usr/sbin/phosphor-gevent rest_dbus
  938     1 root     S    69320  16%   0% /usr/sbin/mboxd --flash 64M --window-size 1M
    1     0 root     S    49036  11%   0% {systemd} /sbin/init
  532     1 root     S    38468   9%   0% /lib/systemd/systemd-journald
 1036     1 root     S    32896   8%   0% /usr/sbin/flash_bios.exe
 1061     1 root     S    32628   8%   0% /usr/sbin/power_control.exe 3000 10
 1059     1 root     S    32616   8%   0% /usr/sbin/button_power.exe
 1060     1 root     S    32612   8%   0% /usr/sbin/button_reset.exe
  929     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
  942     1 root     S    18004   4%   0% python /usr/sbin/netman.py
 1037     1 root     S    17960   4%   0% python /usr/sbin/bmc_update.py
  956     1 root     S    16624   4%   0% python /usr/sbin/phosphor-mapper
  955     1 root     S    16456   4%   0% python /usr/sbin/obmc-phosphor-userd
  923     1 root     S    15928   4%   0% python /usr/sbin/sensor_manager2.py
 1029     1 root     S    15676   4%   0% python /usr/sbin/hwmon.py
  931     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
  948     1 root     S    15656   4%   0% python /usr/sbin/inventory_items.py
 1005     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
 1006     1 root     S    15476   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  959     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  888     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
 1088     1 root     S     7016   2%   0% /usr/sbin/ipmid
  945     1 root     S     6044   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  932     1 root     S     6044   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@380/tmp275@4a
17451     1 root     S     6044   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@400/ucd90160@64
17785     1 root     S     6044   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
