Mem: 160332K used, 271944K free, 14720K shrd, 10832K buff, 50732K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.30 1.33 1.09 3/150 1758
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1754     1 root     R    13216   3% 100% python /usr/sbin/sensor_manager2.py
  977     1 root     S    69320  16%   0% /usr/sbin/mboxd --flash 64M --window-size 1M
 1041     1 root     S    48864  11%   0% python /usr/sbin/phosphor-gevent rest_dbus
 1101     1 root     S    32620   8%   0% /usr/sbin/power_control.exe 3000 10
 1105     1 root     S    32616   8%   0% /usr/sbin/button_reset.exe
 1069     1 root     S    32508   8%   0% /usr/sbin/flash_bios.exe
  957     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
 1096     1 root     S    32504   8%   0% /usr/sbin/button_power.exe
    1     0 root     S    25428   6%   0% {systemd} /sbin/init
  962     1 root     S    18004   4%   0% python /usr/sbin/netman.py
 1070     1 root     S    17768   4%   0% python /usr/sbin/bmc_update.py
  970     1 root     S    16456   4%   0% python /usr/sbin/obmc-phosphor-userd
  981     1 root     S    16204   4%   0% python /usr/sbin/phosphor-mapper
  960     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
  945     1 root     S    15656   4%   0% python /usr/sbin/inventory_items.py
 1048     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
 1045     1 root     S    15440   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  971     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  899     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
  544     1 root     S    13512   3%   0% /lib/systemd/systemd-journald
 1094     1 root     S     7032   2%   0% /usr/sbin/ipmid
  959     1 root     S     6068   1%   0% /usr/sbin/phosphor-network-manager
  986     1 root     S     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
  944     1 root     S     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@71
  961     1 root     S     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@70
  984     1 root     S     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@71
  965     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  998     1 root     S     5924   1%   0% /usr/sbin/phosphor-version-software-manager
  988     1 root     S     5920   1%   0% /usr/sbin/phosphor-dump-manager
  942     1 root     S     5916   1%   0% /usr/sbin/phosphor-log-manager
  973     1 root     S     5896   1%   0% /usr/sbin/phosphor-dump-monitor
  958     1 root     S     5880   1%   0% /usr/sbin/phosphor-inventory
  974     1 root     S     5860   1%   0% /usr/sbin/openpower-update-manager
  976     1 root     S     5812   1%   0% /usr/sbin/phosphor-download-manager
  979     1 root     S     5756   1%   0% /usr/sbin/phosphor-image-updater
  948     1 root     S     5748   1%   0% /usr/sbin/phosphor-ledmanager
 1102     1 root     S     5724   1%   0% /usr/sbin/phosphor-host-state-manager
  943     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:fan1
  966     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/fault
  963     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:front/power
  972     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:fan3
  975     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/power
  946     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:fan2
  964     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:front/fault
  978     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/id
  985     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:fan0
  987     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/pca955x:front/id
 1103     1 root     S     5716   1%   0% /usr/sbin/phosphor-bmc-state-manager
 1104     1 root     S     5716   1%   0% /usr/sbin/phosphor-chassis-state-manager
  956     1 systemd- S     5704   1%   0% /lib/systemd/systemd-networkd
 1068     1 root     S     5316   1%   0% /usr/sbin/openpower-occ-control
 1059     1 root     S     5280   1%   0% /usr/sbin/phosphor-fru-fault-monitor
