MemTotal:         432332 kB
MemFree:          260576 kB
MemAvailable:     306028 kB
Buffers:           10976 kB
Cached:            51220 kB
SwapCached:            0 kB
Active:           116812 kB
Inactive:          30992 kB
Active(anon):      86744 kB
Inactive(anon):    13608 kB
Active(file):      30068 kB
Inactive(file):    17384 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         85624 kB
Mapped:            22844 kB
Shmem:             14744 kB
Slab:              15544 kB
SReclaimable:       8496 kB
SUnreclaim:         7048 kB
KernelStack:        1232 kB
PageTables:         2504 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216164 kB
Committed_AS:     280384 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
