MemTotal:         432276 kB
MemFree:          279276 kB
MemAvailable:     323148 kB
Buffers:           10864 kB
Cached:            50424 kB
SwapCached:            0 kB
Active:            98988 kB
Inactive:          32428 kB
Active(anon):      70620 kB
Inactive(anon):    13968 kB
Active(file):      28368 kB
Inactive(file):    18460 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         70144 kB
Mapped:            21584 kB
Shmem:             14460 kB
Slab:              13776 kB
SReclaimable:       7540 kB
SUnreclaim:         6236 kB
KernelStack:        1224 kB
PageTables:         2348 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216136 kB
Committed_AS:     261180 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
