MemTotal:         432296 kB
MemFree:          262736 kB
MemAvailable:     308068 kB
Buffers:           10888 kB
Cached:            51348 kB
SwapCached:            0 kB
Active:           116896 kB
Inactive:          28520 kB
Active(anon):      86908 kB
Inactive(anon):    10992 kB
Active(file):      29988 kB
Inactive(file):    17528 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         83192 kB
Mapped:            23696 kB
Shmem:             14720 kB
Slab:              15384 kB
SReclaimable:       8312 kB
SUnreclaim:         7072 kB
KernelStack:        1224 kB
PageTables:         3088 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216148 kB
Committed_AS:     280116 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
