MemTotal:         432268 kB
MemFree:          276356 kB
MemAvailable:     323088 kB
Buffers:           11320 kB
Cached:            52396 kB
SwapCached:            0 kB
Active:           103400 kB
Inactive:          29864 kB
Active(anon):      70828 kB
Inactive(anon):    13412 kB
Active(file):      32572 kB
Inactive(file):    16452 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         69564 kB
Mapped:            23752 kB
Shmem:             14692 kB
Slab:              14964 kB
SReclaimable:       8204 kB
SUnreclaim:         6760 kB
KernelStack:        1144 kB
PageTables:         2292 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216132 kB
Committed_AS:     262696 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
