MemTotal:         432240 kB
MemFree:          275676 kB
MemAvailable:     322612 kB
Buffers:           11268 kB
Cached:            52696 kB
SwapCached:            0 kB
Active:           101952 kB
Inactive:          30980 kB
Active(anon):      71772 kB
Inactive(anon):    12020 kB
Active(file):      30180 kB
Inactive(file):    18960 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         68980 kB
Mapped:            23936 kB
Shmem:             14824 kB
Slab:              15204 kB
SReclaimable:       8292 kB
SUnreclaim:         6912 kB
KernelStack:        1176 kB
PageTables:         2976 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     264912 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
