MemTotal:         496816 kB
MemFree:          252848 kB
MemAvailable:     296376 kB
Buffers:           10920 kB
Cached:           140920 kB
SwapCached:            0 kB
Active:           152328 kB
Inactive:          71728 kB
Active(anon):     120304 kB
Inactive(anon):    56264 kB
Active(file):      32024 kB
Inactive(file):    15464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         72232 kB
Mapped:            25032 kB
Shmem:            104352 kB
Slab:              12920 kB
SReclaimable:       7276 kB
SUnreclaim:         5644 kB
KernelStack:        1040 kB
PageTables:         1892 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     378672 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
