MemTotal:         432268 kB
MemFree:          279920 kB
MemAvailable:     326408 kB
Buffers:           11284 kB
Cached:            52232 kB
SwapCached:            0 kB
Active:            96472 kB
Inactive:          32936 kB
Active(anon):      66896 kB
Inactive(anon):    13516 kB
Active(file):      29576 kB
Inactive(file):    19420 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         65908 kB
Mapped:            22916 kB
Shmem:             14520 kB
Slab:              14604 kB
SReclaimable:       7988 kB
SUnreclaim:         6616 kB
KernelStack:        1192 kB
PageTables:         2136 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216132 kB
Committed_AS:     280808 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
