Mem: 176768K used, 255480K free, 38992K shrd, 11492K buff, 76700K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 6.14 3.32 1.30 6/152 1796
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1018     1 root     R    16584   4% 100% python /usr/sbin/phosphor-mapper --path_namespaces=/xyz/openbmc_project /org/openbmc /org/open_power --interface_namespaces=org.open_power xyz.openbmc_project org.openbmc --blacklists= --interface_blacklists=
 1743     1 root     S    32628   8%   0% /usr/sbin/power_control.exe 3000 10
 1737     1 root     S    32616   8%   0% /usr/sbin/button_reset.exe
 1744     1 root     S    32616   8%   0% /usr/sbin/button_power.exe
 1005     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
 1284     1 root     S    29044   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
 1021     1 root     S    17952   4%   0% python /usr/sbin/netman.py
 1326     1 root     S    17820   4%   0% python /usr/sbin/bmc_update.py
 1020     1 root     S    16460   4%   0% python /usr/sbin/obmc-phosphor-userd
    1     0 root     S    16388   4%   0% {systemd} /sbin/init
 1010     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
 1022     1 root     S    15664   4%   0% python /usr/sbin/sensor_manager2.py
 1264     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
 1011     1 root     S    15624   4%   0% python /usr/sbin/inventory_items.py
 1212     1 root     S    15440   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
 1007     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  744     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
  718     1 root     S    13868   3%   0% /lib/systemd/systemd-journald
 1745     1 root     S     7316   2%   0% /usr/sbin/ipmid
 1271     1 root     S     6140   1%   0% /usr/sbin/phosphor-network-manager
 1293     1 root     R     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
 1294     1 root     R     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@71
 1300     1 root     S     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/power-supply@68
 1297     1 root     S     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@71
 1299     1 root     S     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
 1295     1 root     R     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/bmp280@77
 1298     1 root     S     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@70
 1296     1 root     S     6084   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/power-supply@69
 1015     1 root     S     6080   1%   0% /usr/sbin/phosphor-settings-manager
 1037     1 root     S     6032   1%   0% /usr/sbin/phosphor-dump-manager
 1323     1 root     S     6028   1%   0% /usr/sbin/openpower-occ-control
 1083     1 root     S     5984   1%   0% /usr/sbin/openpower-update-manager
 1069     1 root     S     5968   1%   0% /usr/sbin/phosphor-image-updater
 1089     1 root     S     5960   1%   0% /usr/sbin/phosphor-version-software-manager
 1024     1 root     S     5952   1%   0% /usr/sbin/phosphor-log-manager
 1787     1 root     S     5936   1%   0% /usr/sbin/phosphor-host-state-manager
 1019     1 root     S     5936   1%   0% /usr/sbin/phosphor-dump-monitor
 1023     1 root     S     5932   1%   0% /usr/sbin/phosphor-inventory
 1324     1 root     S     5880   1%   0% /usr/sbin/phosphor-gpio-presence --path=/dev/input/by-path/platform-gpio-keys-event --inventory=/system/chassis/power_supply0 --key=127 --name=power_supply0
 1321     1 root     S     5880   1%   0% /usr/sbin/phosphor-gpio-presence --path=/dev/input/by-path/platform-gpio-keys-event --inventory=/system/chassis/power_supply1 --key=104 --name=power_supply1
 1775     1 root     S     5872   1%   0% /usr/sbin/timemanager
 1025     1 root     S     5844   1%   0% /usr/sbin/phosphor-download-manager
 1017     1 root     S     5780   1%   0% /usr/sbin/phosphor-ledmanager
 1078     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/id
 1076     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/front/fault
 1075     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/fan0
 1071     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/front/id
 1070     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/front/power
 1072     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/fan2
 1073     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/power
 1074     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/fan3
 1077     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/fan1
 1079     1 root     S     5752   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/fault
 1794     1 root     S     5752   1%   0% /usr/sbin/phosphor-discover-system-state --host 0
 1736     1 root     S     5748   1%   0% /usr/sbin/phosphor-chassis-state-manager
 1738     1 root     S     5748   1%   0% /usr/sbin/phosphor-bmc-state-manager
 1000     1 systemd- S     5704   1%   0% /lib/systemd/systemd-networkd
 1315     1 root     S     5284   1%   0% /usr/sbin/phosphor-fru-fault-monitor
 1290     1 root     S     5264   1%   0% /usr/sbin/phosphor-dbus-monitor
 1009     1 avahi    S     5260   1%   0% avahi-daemon: running [witherspoon.local]
  997     1 messageb S     5248   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
 1041  1009 avahi    S     5128   1%   0% avahi-daemon: chroot helper
 1081     1 root     S     5120   1%   0% /usr/sbin/slpd
 1314     1 root     S     5108   1%   0% /lib/systemd/systemd-hostnamed
  726     1 root     S     3816   1%   0% /lib/systemd/systemd-udevd
 1008     1 root     R     3772   1%   0% /usr/sbin/btbridged
 1316     1 root     S     3768   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
 1184  1183 root     S     3008   1%   0% -sh
 1002     1 root     S     2992   1%   0% /sbin/klogd -n
 1001     1 root     S     2992   1%   0% /sbin/syslogd -n
 1796  1183 root     R     2992   1%   0% top -n 1 -b
 1790     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1183     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1085     1 root     S     1984   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
 1082     1 root     S     1848   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyVUART0
 1012     1 root     S     1712   0%   0% /usr/sbin/rngd -f
  183     2 root     SW       0   0%   0% [kworker/0:1]
  584     2 root     SW<      0   0%   0% [loop0]
 1597  1037 root     Z        0   0%   0% [dreport]
    6     2 root     SW       0   0%   0% [ksoftirqd/0]
   11     2 root     SW       0   0%   0% [kworker/u2:1]
 1650  1037 root     Z        0   0%   0% [dreport]
  514     2 root     SW<      0   0%   0% [kworker/0:1H]
  222     2 root     SW       0   0%   0% [hwrng]
  737     2 root     SW       0   0%   0% [kworker/0:3]
    5     2 root     SW       0   0%   0% [kworker/u2:0]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     SW       0   0%   0% [kworker/0:0]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [watchdog/0]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
   10     2 root     SW       0   0%   0% [khungtaskd]
  107     2 root     SW       0   0%   0% [kworker/u2:2]
  147     2 root     SW       0   0%   0% [oom_reaper]
  148     2 root     SW<      0   0%   0% [writeback]
  149     2 root     SW<      0   0%   0% [bioset]
  151     2 root     SW<      0   0%   0% [kblockd]
  153     2 root     SW<      0   0%   0% [watchdogd]
  190     2 root     SW       0   0%   0% [kswapd0]
  191     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  225     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  234     2 root     SW<      0   0%   0% [bioset]
  235     2 root     SW<      0   0%   0% [bioset]
  236     2 root     SW<      0   0%   0% [bioset]
  237     2 root     SW<      0   0%   0% [bioset]
