MemTotal:         432252 kB
MemFree:          280316 kB
MemAvailable:     326832 kB
Buffers:           11304 kB
Cached:            52288 kB
SwapCached:            0 kB
Active:            93188 kB
Inactive:          35960 kB
Active(anon):      66080 kB
Inactive(anon):    14000 kB
Active(file):      27108 kB
Inactive(file):    21960 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         65572 kB
Mapped:            22996 kB
Shmem:             14524 kB
Slab:              14588 kB
SReclaimable:       7944 kB
SUnreclaim:         6644 kB
KernelStack:        1168 kB
PageTables:         2064 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216124 kB
Committed_AS:     230880 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
