MemTotal:         432240 kB
MemFree:          280284 kB
MemAvailable:     326964 kB
Buffers:           11376 kB
Cached:            52188 kB
SwapCached:            0 kB
Active:            90176 kB
Inactive:          37972 kB
Active(anon):      65352 kB
Inactive(anon):    13636 kB
Active(file):      24824 kB
Inactive(file):    24336 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         64600 kB
Mapped:            22492 kB
Shmem:             14404 kB
Slab:              15204 kB
SReclaimable:       8016 kB
SUnreclaim:         7188 kB
KernelStack:        1232 kB
PageTables:         2288 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     190896 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
