MemTotal:         432240 kB
MemFree:          275736 kB
MemAvailable:     324672 kB
Buffers:           11816 kB
Cached:            53776 kB
SwapCached:            0 kB
Active:            96388 kB
Inactive:          35880 kB
Active(anon):      67676 kB
Inactive(anon):    13408 kB
Active(file):      28712 kB
Inactive(file):    22472 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         66692 kB
Mapped:            23736 kB
Shmem:             14408 kB
Slab:              15600 kB
SReclaimable:       8248 kB
SUnreclaim:         7352 kB
KernelStack:        1208 kB
PageTables:         2300 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     232808 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
