MemTotal:         432244 kB
MemFree:          218904 kB
MemAvailable:     323060 kB
Buffers:           32060 kB
Cached:            82524 kB
SwapCached:            0 kB
Active:           164536 kB
Inactive:          20056 kB
Active(anon):      72736 kB
Inactive(anon):     6228 kB
Active(file):      91800 kB
Inactive(file):    13828 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:         70024 kB
Mapped:            26504 kB
Shmem:              8956 kB
Slab:              18176 kB
SReclaimable:       9036 kB
SUnreclaim:         9140 kB
KernelStack:        1288 kB
PageTables:         2484 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     232280 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
