MemTotal:         432244 kB
MemFree:          290776 kB
MemAvailable:     330084 kB
Buffers:           11196 kB
Cached:            40596 kB
SwapCached:            0 kB
Active:            86104 kB
Inactive:          29900 kB
Active(anon):      64984 kB
Inactive(anon):     8096 kB
Active(file):      21120 kB
Inactive(file):    21804 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:         64228 kB
Mapped:            22068 kB
Shmem:              8868 kB
Slab:              15324 kB
SReclaimable:       6892 kB
SUnreclaim:         8432 kB
KernelStack:        1216 kB
PageTables:         2224 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     127048 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
