Mem: 148616K used, 283636K free, 8868K shrd, 11800K buff, 43016K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 4.84 2.51 0.98 4/160 1459
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1066     1 root     R    16596   4% 100% python /usr/sbin/phosphor-mapper --path_namespaces=/xyz/openbmc_project /org/openbmc /org/open_power --interface_namespaces=org.open_power org.openbmc xyz.openbmc_project --blacklists= --interface_blacklists=
 1220     1 root     S    71596  17%   0% mboxd --flash 64M --window-size 1M
 1299     1 root     S    32628   8%   0% power_control.exe 3000 10
 1298     1 root     S    32612   8%   0% button_power.exe
  982     1 root     S    32504   8%   0% control_bmc.exe
 1300     1 root     S    32504   8%   0% button_reset.exe
 1188     1 root     S    29356   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
    1     0 root     S    25744   6%   0% {systemd} /sbin/init
  966     1 root     S    18060   4%   0% python /usr/sbin/netman.py
 1215     1 root     S    17768   4%   0% python /usr/sbin/bmc_update.py
  981     1 root     S    16456   4%   0% python /usr/sbin/obmc-phosphor-userd
 1181     1 root     S    15672   4%   0% python /usr/sbin/system_manager.py
  977     1 root     S    15672   4%   0% python /usr/sbin/sensor_manager2.py
 1063     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
  972     1 root     S    15624   4%   0% python /usr/sbin/inventory_items.py
 1172     1 root     S    15476   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
 1061     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  951     1 systemd- S    14932   3%   0% /lib/systemd/systemd-timesyncd
  533     1 root     S    13604   3%   0% /lib/systemd/systemd-journald
 1314     1 root     S     7432   2%   0% ipmid
 1170     1 root     S     7428   2%   0% openpower-update-manager
  979     1 root     S     6548   2%   0% phosphor-inventory
 1175     1 root     S     6152   1%   0% phosphor-network-manager
 1162     1 root     R     6112   1%   0% phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
 1444     1 root     S     6112   1%   0% phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
 1164     1 root     S     6112   1%   0% phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/bmp280@77
